Product Name,Price,Discount,Battery,Display,Ratings,Reviews,Camera,Actual Price,Processor,RAM,ROM,brand,type
"vivo V40 5G (Lotus Purple, 512 GB)",42999.0,14.0,5500 mAh Battery,17.22 cm (6.78 inch) Full HD+ Display,1050.0,106.0,50MP + 50MP | 50MP Front Camera,49999.0,Snapdragon 7 Gen 3 Processor,12.0,512.0,vivo,Android
"vivo Y28e 5G (Breeze Green, 128 GB)",10999.0,31.0,5000 mAh Battery,16.66 cm (6.56 inch) Full HD+ Display,620.0,17.0,13MP + 0.08MP | 5MP Front Camera,15999.0,Dimensity 6300 Processor,4.0,128.0,vivo,Android
"vivo Y300 5G (Phantom Purple, 128 GB)",21999.0,18.0,5000 mAh Battery,16.94 cm (6.67 inch) Display,1401.0,86.0,50MP + 2MP | 32MP Front Camera,26999.0,4 Gen 2 Processor,8.0,128.0,vivo,Android
"vivo Y58 5G (Himalayan Blue, 128 GB)",16332.0,31.0,6000 mAh Battery,17.07 cm (6.72 inch) Display,589.0,25.0,50MP + 2MP | 8MP Front Camera,23999.0,4 Gen 2 Processor,8.0,128.0,vivo,Android
"vivo T2x 5G (Glimmer Black, 128 GB)",15599.0,25.0,5000 mAh Battery,16.71 cm (6.58 inch) Full HD+ Display,77156.0,4341.0,50MP + 2MP | 8MP Front Camera,20999.0,Mediatek Dimensity 6020 Processor,8.0,128.0,vivo,Android
"vivo T3x 5G (Crimson Bliss, 128 GB)",15499.0,24.0,6000 mAh Battery,17.06 cm (6.7165354 inch) Full HD+ Display,27827.0,1418.0,50MP + 2MP | 8MP Front Camera,20499.0,6 Gen 1 Processor,8.0,128.0,vivo,Android
"vivo T2x 5G (Aurora Gold, 128 GB)",12999.0,31.0,5000 mAh Battery,16.71 cm (6.58 inch) Full HD+ Display,448995.0,23707.0,50MP + 2MP | 8MP Front Camera,18999.0,Mediatek Dimensity 6020 Processor,6.0,128.0,vivo,Android
"vivo T3 Ultra (Lunar Gray, 256 GB)",31999.0,15.0,5500 mAh Battery,17.22 cm (6.78 inch) Display,12260.0,1092.0,50MP + 8MP | 50MP Front Camera,37999.0,Dimensity 9200+ Processor,8.0,256.0,vivo,Android
"vivo V40 Pro 5G (Ganges Blue, 512 GB)",55999.0,8.0,5500 mAh Battery,17.22 cm (6.78 inch) Full HD+ Display,778.0,91.0,50MP + 50MP + 50MP | 50MP Front Camera,60999.0,Dimensity 9200+ Processor,12.0,512.0,vivo,Android
"vivo V40 Pro 5G (Titanium Grey, 256 GB)",49999.0,9.0,5500 mAh Battery,17.22 cm (6.78 inch) Full HD+ Display,1029.0,134.0,50MP + 50MP + 50MP | 50MP Front Camera,54999.0,Dimensity 9200+ Processor,8.0,256.0,vivo,Android
